AH Groe­ne sa­la­de Ita­li­aan­se mix	Verse kant-en-klaar maaltijden, salades/Groene salade	2.99	250 g
AH Groe­ne sa­la­de Cae­sar mix	Verse kant-en-klaar maaltijden, salades/Groene salade	2.99	285 g
AH Maal­tijd­sa­la­de kip Cae­sar	Verse kant-en-klaar maaltijden, salades/Maaltijdsalade (kant en klaar)	3.99	450 g
AH Groe­ne sa­la­de to­maat-kom­kom­mer	Verse kant-en-klaar maaltijden, salades/Groene salade	2.49	340 g
AH Groen­te& quinoa-no­ten	Verse kant-en-klaar maaltijden, salades/Lunch salade	2.75	205 g
AH Groe­ne sa­la­de blau­we kaas-peer	Verse kant-en-klaar maaltijden, salades/Groene salade	3.49	277 g
AH Groe­ne sa­la­de wit­lof-ap­pel	Verse kant-en-klaar maaltijden, salades/Maaltijdsalade (kant en klaar)	2.99	340 g
AH Groe­ne sa­la­de boe­ren­mix	Verse kant-en-klaar maaltijden, salades/Groene salade	2.99	295 g
AH Maal­tijd­sa­la­de gei­ten­kaas	Verse kant-en-klaar maaltijden, salades/Maaltijdsalade (kant en klaar)	4.99	450 g
AH Maal­tijd­sa­la­de moz­za­rel­la	Verse kant-en-klaar maaltijden, salades/Maaltijdsalade (kant en klaar)	3.99	450 g
AH Maal­tijd­sa­la­de Ma­rok­kaan­se kip	Verse kant-en-klaar maaltijden, salades/Maaltijdsalade (kant en klaar)	4.99	450 g
AH Groe­ne sa­la­de kip-ap­pel	Verse kant-en-klaar maaltijden, salades/Groene salade	3.29	325 g
Al­ler­han­de Box Paas­box	Aardappel, groente, fruit/Allerhande Box	37.5	per stuk
AH Al­ler­han­de brunch wijn­box	Wijn/Wijn specials (feestdagen)	10.0	2 x 0,75 l
AH Hol­land­se stamp­pot boe­ren­kool	Verse kant-en-klaar maaltijden, salades/Stamppot (regulier)	2.99	500 g
AH Aard­ap­pel­pu­ree	Verse kant-en-klaar maaltijden, salades/Aardappelpuree (vers)	1.55	450 g
AH Hol­land­se stamp­pot an­dij­vie	Verse kant-en-klaar maaltijden, salades/Stamppot (regulier)	3.05	500 g
AH Hol­land­se stamp­pot zuur­kool	Verse kant-en-klaar maaltijden, salades/Stamppot (regulier)	3.09	500 g
AH Aard­ap­pel­pu­ree voor­deel	Verse kant-en-klaar maaltijden, salades/Aardappelpuree (vers)	2.29	800 g
AH Hol­land­se stamp­pot huts­pot met ha­chee	Verse kant-en-klaar maaltijden, salades/Stamppot (regulier)	3.59	500 g
AH Ver­se stamp­pot an­dij­vie	Verse kant-en-klaar maaltijden, salades/Stamppot  (vers uit de keuken)	4.19	505 g
AH BASIC La­sag­ne bo­log­ne­se	Verse kant-en-klaar maaltijden, salades/Lasagne maaltijden	2.69	1 kg
AH Hol­land­se stamp­pot spi­na­zie	Verse kant-en-klaar maaltijden, salades/Stamppot (regulier)	2.99	500 g
AH Hol­land­se stamp­pot bloem­kool-broc­co­li	Verse kant-en-klaar maaltijden, salades/Stamppot (regulier)	3.59	500 g
AH Zoe­te aard­ap­pel­pu­ree	Verse kant-en-klaar maaltijden, salades/Aardappelpuree (vers)	2.69	450 g
AH Ver­se stamp­pot wit­lof ham-kaas	Verse kant-en-klaar maaltijden, salades/Stamppot  (vers uit de keuken)	4.29	550 g
AH Piz­za­deeg en to­ma­ten­saus	Verse kant-en-klaar maaltijden, salades/Pizza pakket	2.59	600 g
AH Piz­za­bo­dem to­maat	Verse kant-en-klaar maaltijden, salades/Pizzabodem (vers)	2.89	2 x 250 g
Ma­gi­o­ni Bloem­kool piz­za­bo­dem	Aardappel, groente, fruit/Groente pizzabodem	3.29	360 g
AH Piz­za pro­s­ci­ut­to	Verse kant-en-klaar maaltijden, salades/Verse Pizza	3.99	330 g
Lek­ker&An­ders Lah­ma­cun (Turk­se piz­za)	Verse kant-en-klaar maaltijden, salades/Turkse pizza	3.89	3 x 180 g
Tan­te Fan­ny Vers flamm­ku­chen­deeg	Verse kant-en-klaar maaltijden, salades/Pizzabodem (vers)	1.89	260 g
Koop­mans Mix voor piz­za­bo­dem Ita­li­aans	Verse kant-en-klaar maaltijden, salades/Pizzabodem mix	0.79	450 g
AH Piz­za ton­no	Verse kant-en-klaar maaltijden, salades/Verse Pizza	4.99	380 g
AH Piz­za tar­tu­fa­to	Verse kant-en-klaar maaltijden, salades/Verse Pizza	4.49	355 g
Ma­gi­o­ni Pom­poen­piz­za	Verse kant-en-klaar maaltijden, salades/Seizoenspizzabodem	3.29	360 g
La Tua Fa­ri­na Bloem voor piz­za­deeg	Verse kant-en-klaar maaltijden, salades/Pizzabodem mix	0.99	500 g
AH Piz­za Thai chic­ken	Verse kant-en-klaar maaltijden, salades/Verse Pizza	4.99	340 g
AH Qui­che Lor­rai­ne	Verse kant-en-klaar maaltijden, salades/Quiches	3.29	300 g
AH Qui­che Me­di­ter­ra­ne groen­te	Verse kant-en-klaar maaltijden, salades/Quiches	3.39	300 g
AH Qui­che ham-prei	Verse kant-en-klaar maaltijden, salades/Quiches	3.39	300 g
AH Qui­che been­ham-cham­pig­non	Verse kant-en-klaar maaltijden, salades/Quiches	3.39	300 g
AH Mi­ni qui­che to­maat moz­za­rel­la	Verse kant-en-klaar maaltijden, salades/Quiches	1.5	150 g
AH Mi­ni qui­che Lor­rai­ne	Verse kant-en-klaar maaltijden, salades/Quiches	1.5	150 g
AH Qui­che spi­na­zie sa­la­mi	Verse kant-en-klaar maaltijden, salades/Quiches	3.39	300 g
The Pie Fac­to­ry Har­ti­ge taart run­der­stoof-ui	Verse kant-en-klaar maaltijden, salades/Hartige taart	2.99	250 g
AH Zalm qui­che met groe­ne as­per­ges	Kaas, vleeswaren, delicatessen/Quiche, pie (feestdagen)	2.29	125 g
AH Ver­se pureer­soep pom­poen-wor­tel	Verse kant-en-klaar maaltijden, salades/Soepen  (vers uit de keuken)	2.99	528 g
AH Ver­se pureer­soep to­maat-ore­ga­no	Verse kant-en-klaar maaltijden, salades/Soepen  (vers uit de keuken)	2.99	638 g
